answer_f1,answer_f1_improvement,avg_policy_reward,avg_rank_improvement,avg_reward,comparison_method,eval_split,mrr,mrr_improvement,num_records,policy_name,recall10_improvement,recall@1,recall@10,recall@5,retriever,reward_improvement,seed
0.4413135708776156,0.04624516956387477,0.005042899216957696,0.33,0.3715616236833519,llm_rewrite,test,0.07482936507936508,0.011793650793650794,300,always_llm,0.05333333333333334,0.03333333333333333,0.19333333333333333,0.13,bm25,0.005042899216957696,7
0.41885393387790343,0.023785532564162683,0.0035987552277761633,0.24666666666666667,0.37011747969417036,rl_selected_rewrite,test,0.07753835978835978,0.014502645502645501,300,calibrated_recovery_policy,0.03666666666666667,0.043333333333333335,0.17666666666666667,0.12,bm25,0.0035987552277761633,7
0.39768057405143736,0.0026121727376965972,-0.00927555649808869,0.25333333333333335,0.3572431679683055,conservative_contextual_bandit,test,0.07505820105820105,0.012022486772486773,300,conservative_linucb_policy,0.03666666666666667,0.03666666666666667,0.17666666666666667,0.12333333333333334,bm25,-0.00927555649808869,7
0.3297264427674259,-0.06534195854631487,-0.12789905887329586,-0.26666666666666666,0.23861966559309836,rule_based_rewrite,test,0.04858333333333333,-0.014452380952380951,300,failure_type_policy,-0.04,0.03333333333333333,0.1,0.07666666666666666,bm25,-0.12789905887329586,7
0.4338477699703831,0.0387793686566423,0.007827062255404948,0.29333333333333333,0.37434578672179913,label_retriever_policy,test,0.07452380952380952,0.011488095238095236,300,label_retriever_policy,0.05,0.03333333333333333,0.19,0.12333333333333334,bm25,0.007827062255404948,7
0.4413135708776156,0.04624516956387477,0.005042899216957696,0.33,0.3715616236833519,q_table_rewrite,test,0.07482936507936508,0.011793650793650794,300,offline_q_learning,0.05333333333333334,0.03333333333333333,0.19333333333333333,0.13,bm25,0.005042899216957696,7
0.5230030041096352,0.12793460279589444,0.16091199004263587,0.6666666666666666,0.5274307145090301,oracle_best_rewrite,test,0.10774338624338625,0.04470767195767196,300,oracle_best_strategy,0.09,0.06333333333333334,0.23,0.16666666666666666,bm25,0.16091199004263587,7
0.39506840131374077,0.0,0.0,0.0,0.3665187244663942,original_query,test,0.06303571428571428,0.0,300,original_only,0.0,0.03666666666666667,0.14,0.09666666666666666,bm25,0.0,7
0.44897134745764117,0.05390294614390034,0.0048458412310242015,0.27666666666666667,0.3713645656974184,recovery_ranker_policy,test,0.07188492063492063,0.00884920634920635,300,recovery_ranker_policy,0.04666666666666667,0.03,0.18666666666666668,0.12333333333333334,bm25,0.0048458412310242015,7
0.4478944018113877,0.05282600049764688,0.040210166535695605,0.44,0.4067288910020898,refined_label_rule_model_policy,test,0.08378306878306879,0.020747354497354497,300,refined_label_rule_model_policy,0.07333333333333333,0.04,0.21333333333333335,0.13666666666666666,bm25,0.040210166535695605,7
